한전내역번호,한전내역명칭,한전유형,사업영역,코스트센터,전기계약구분,RAPA,(현)한전구매처,지급처,한전고객번호,계량기번호,계량종별,고객구분,450시간초과요금적용여부,주소,한전-빌링주소,한전-관리필드,삭제여부,삭제일,최종지급월,지역본부,통합시설코드,통합시설명,세부사업구분,장비유형,국사구분,통합시설주소,최종서비스종료일,yymm,계량기,계약종별,고객구분.1,계약전력,월사용량,고압요금적용전력,당월사용량_중,당월사용량_최,당월사용량_경,RAPA총사용량,당월최대수요전력,공급가,기타금액,실지급액,450시간초과요금,처리건수,도우미,실사용시작일,실사용종료일,시스템사용량,청구서-시스템,청구서기준,무슨시스템,제외필요,정상여부
ME00136144,화성영재빌딩LRRU.51.LTE.RRU_L(SS),M,5100,42164,종량제(일반),X,2018230821,2018230821,241665417,29171047283,일반용갑저압,저압,,경기 화성시 향남읍 평리 35 - 1,경기도 화성시향남읍 삼천병마로 231,SKT,,0,202502,경기,201633183,화성영재빌딩LRRU.51.LTE.RRU_L(SS),LTE,RRU_L(SS),,경기 화성시 향남읍 평리 35-1번지 영재빌딩 4층 옥상,0,2408,29171047283,일반용갑저압,저압,4,93,4,93,0,0,93,0,"42,755","1,200","48,231",0,1,2016331832408,20240701,20240731,760.87023,-667.87023,1044%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
ME00172526,포천라싸골프장1LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,종량제(피크),X,2018230821,2018230821,1028882913,6250067451,일반용갑II고압A,고압,,경기 포천시 이동면 연곡리 산 142 - 1,경기도 포천시이동면 제비울1길 104,SKT-LGU-KT,,0,202501,인천,20193B4EA,(공동)포천라싸골프장1LRRUM.51.LTE.RRU_L(SS),LTE,RRU_L(SS),,경기 포천시 이동면 연곡리 599번지 (공참)KT 강관주,0,2409,6250067451,일반용(갑)II고압A,고압,4,53,4,53,0,0,161,1,"13,100",273,"14,683",0,1,20193B4EA2409,20240826,20240925,305.04386,-252.04386,571%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00172526,포천라싸골프장1LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,종량제(피크),X,2018230821,2018230821,1028882913,6250067451,일반용갑II고압A,고압,,경기 포천시 이동면 연곡리 산 142 - 1,경기도 포천시이동면 제비울1길 104,SKT-LGU-KT,,0,202501,인천,20193B4EA,(공동)포천라싸골프장1LRRUM.51.LTE.RRU_L(SS),LTE,RRU_L(SS),,경기 포천시 이동면 연곡리 599번지 (공참)KT 강관주,0,2408,6250067451,일반용(갑)II고압A,고압,4,53,4,53,0,0,160,1,"14,586",321,"16,366",0,1,20193B4EA2408,20240726,20240825,305.32254,-252.32254,564%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00197060,수택벌말삼거리AAUE_1.51.5G.AAU21-3.5G-32T(SS),M,5100,40240,종량제(일반),X,2018230821,2018230821,1030812923,25190216213,일반용갑저압,저압,,경기 구리시 수택동 318 - 1,경기도 구리시수택동 319-1,SKT-KT,,0,202501,인천,202231822,(고압)수택벌말삼거리AAUE_1.51.5G.AAU21-3.5G-32T(SS,5G,AAU21-3.5G-32T(SS),,경기 구리시 수택동 318-1번지 전주,0,2410,25190216213,일반용갑저압,,4,131,4,131,0,0,844,0,"16,676",565,"18,909",0,1,2022318222410,20241017,20241021,727.64267,-596.64267,550%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00169772,사병폰_(군)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,정액제,없음,1208200052,1208200052,1130816106,,주택용,고압,,인천 부평구 일신동 232,인천광역시 부평구 항동로46번길 0-2,-,,0,202503,인천,20193B4DQ,(군1)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 부평구 일신동 232번지,0,2412,,주택용,고압,3,216,3,216,0,0,0,0,"28,068",890,"31,760",0,1,20193B4DQ2412,20241025,20241124,553.16113,-337.16113,344%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
ME00169772,사병폰_(군)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,정액제,없음,1208200052,1208200052,1130816106,,주택용,고압,,인천 부평구 일신동 232,인천광역시 부평구 항동로46번길 0-2,-,,0,202503,인천,20193B4DQ,(군1)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 부평구 일신동 232번지,0,2409,,주택용,고압,3,216,3,216,0,0,0,0,"28,068",890,"31,760",0,1,20193B4DQ2409,20240725,20240824,550.2964,-334.2964,341%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
ME00169772,사병폰_(군)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,정액제,없음,1208200052,1208200052,1130816106,,주택용,고압,,인천 부평구 일신동 232,인천광역시 부평구 항동로46번길 0-2,-,,0,202503,인천,20193B4DQ,(군1)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 부평구 일신동 232번지,0,2408,,주택용,고압,3,216,3,216,0,0,0,0,"28,068",920,"31,790",0,1,20193B4DQ2408,20240625,20240724,545.83784,-329.83784,341%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
ME00169772,사병폰_(군)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,정액제,없음,1208200052,1208200052,1130816106,,주택용,고압,,인천 부평구 일신동 232,인천광역시 부평구 항동로46번길 0-2,-,,0,202503,인천,20193B4DQ,(군1)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 부평구 일신동 232번지,0,2410,,주택용,고압,3,216,3,216,0,0,0,0,"28,068",890,"31,760",0,1,20193B4DQ2410,20240825,20240924,546.01968,-330.01968,339%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
ME00178453,검암DK타운LRRUM,M,5100,40244,정액제,없음,1208200052,1208200052,1131438157,,주택용,저압,,인천 서구 검암동 229 - 20,인천광역시 서구 허암길 4,-,,0,202503,인천,20202A2Z1,검암DK타운LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 서구 검암동 229-16번지,0,2411,,주택용,저압,3,216,3,216,0,0,0,0,"32,057","1,020","36,280",0,1,20202A2Z12411,20241015,20241114,724.63103,-508.63103,335%,"5G_EMS,4G_PRB(구)",제외필요,점검필요
ME00169772,사병폰_(군)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),M,5100,40240,정액제,없음,1208200052,1208200052,1130816106,,주택용,고압,,인천 부평구 일신동 232,인천광역시 부평구 항동로46번길 0-2,-,,0,202503,인천,20193B4DQ,(군1)부평10보급대대LRRUM.51.LTE.ARRU_L(SS),LTE,ARRU_L(SS),,인천 부평구 일신동 232번지,0,2411,,주택용,고압,3,216,3,216,0,0,0,0,"28,068",890,"31,760",0,1,20193B4DQ2411,20240925,20241024,525.17727,-309.17727,327%,"5G_EMS,4G_EMS,4G_PRB(구)",제외필요,점검필요
